"page_id","candidate_label","statue_id","source_type","source_query","commons_title","commons_page_url","download_url","local_path","sha1","width","height","license","author","cropper_key"
"190412419","nakprok","Luang Pho Sila (Wat Thung Saliam)","category","Category:Luang Pho Sila (Wat Thung Saliam)","File:Luang Pho Sila (Wat Thung Saliam) หลวงพ่อศิลา วัดทุ่งเสลี่ยม (2026) - img 03.jpg","https://commons.wikimedia.org/wiki/File:Luang_Pho_Sila_(Wat_Thung_Saliam)_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_(2026)_-_img_03.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_03.jpg/1920px-Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_03.jpg","images/nakprok/190412419_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_03.jpg","4391d8f562f9c8bc357b8b6ef52bb35ff76ec7a8","3024","4032","CC BY 4.0","Chainwit.","batch23/nakprok/190412419_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_03.jpg"
"190412420","nakprok","Luang Pho Sila (Wat Thung Saliam)","category","Category:Luang Pho Sila (Wat Thung Saliam)","File:Luang Pho Sila (Wat Thung Saliam) หลวงพ่อศิลา วัดทุ่งเสลี่ยม (2026) - img 01.jpg","https://commons.wikimedia.org/wiki/File:Luang_Pho_Sila_(Wat_Thung_Saliam)_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_(2026)_-_img_01.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_01.jpg/1920px-Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_01.jpg","images/nakprok/190412420_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_01.jpg","2e80acd74592e3e9cbad203aef2c005e571c82fe","5712","4284","CC BY 4.0","Chainwit.","batch23/nakprok/190412420_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_01.jpg"
"190412425","nakprok","Luang Pho Sila (Wat Thung Saliam)","category","Category:Luang Pho Sila (Wat Thung Saliam)","File:Luang Pho Sila (Wat Thung Saliam) หลวงพ่อศิลา วัดทุ่งเสลี่ยม (2026) - img 06.jpg","https://commons.wikimedia.org/wiki/File:Luang_Pho_Sila_(Wat_Thung_Saliam)_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_(2026)_-_img_06.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_06.jpg/1920px-Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_06.jpg","images/nakprok/190412425_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_06.jpg","318a51d41af797214c069644f547ac19098153db","3024","4032","CC BY 4.0","Chainwit.","batch23/nakprok/190412425_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_06.jpg"
"190412426","nakprok","Luang Pho Sila (Wat Thung Saliam)","category","Category:Luang Pho Sila (Wat Thung Saliam)","File:Luang Pho Sila (Wat Thung Saliam) หลวงพ่อศิลา วัดทุ่งเสลี่ยม (2026) - img 04.jpg","https://commons.wikimedia.org/wiki/File:Luang_Pho_Sila_(Wat_Thung_Saliam)_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_(2026)_-_img_04.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_04.jpg/1920px-Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_04.jpg","images/nakprok/190412426_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_04.jpg","a0ad8b68e366a27e5b1e319631ba7a4a32153d87","3024","4032","CC BY 4.0","Chainwit.","batch23/nakprok/190412426_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_04.jpg"
"190412427","nakprok","Luang Pho Sila (Wat Thung Saliam)","category","Category:Luang Pho Sila (Wat Thung Saliam)","File:Luang Pho Sila (Wat Thung Saliam) หลวงพ่อศิลา วัดทุ่งเสลี่ยม (2026) - img 05.jpg","https://commons.wikimedia.org/wiki/File:Luang_Pho_Sila_(Wat_Thung_Saliam)_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_(2026)_-_img_05.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_05.jpg/1920px-Luang_Pho_Sila_%28Wat_Thung_Saliam%29_%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1_%282026%29_-_img_05.jpg","images/nakprok/190412427_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_05.jpg","9aa3daf450bf3098ea6598381bdc90c57f5d0365","3024","4032","CC BY 4.0","Chainwit.","batch23/nakprok/190412427_Luang_Pho_Sila_(Wat_Thung_Saliam)_หลวงพ่อศิลา_วัดทุ่งเสลี่ยม_(2026)_-_img_05.jpg"
"59879662","nakprok","Mucalinda of Wat Hua Wiang","category","Category:Mucalinda of Wat Hua Wiang","File:022 Mucilinda, 12c, Srivijaya (35212723336).jpg","https://commons.wikimedia.org/wiki/File:022_Mucilinda,_12c,_Srivijaya_(35212723336).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/022_Mucilinda%2C_12c%2C_Srivijaya_%2835212723336%29.jpg/1920px-022_Mucilinda%2C_12c%2C_Srivijaya_%2835212723336%29.jpg","images/nakprok/59879662_022_Mucilinda,_12c,_Srivijaya_(35212723336).jpg","d76da42fe16c8af9d72de9fc61af85ce9719a6cb","2641","5282","CC BY 2.0","Photo Dharma from Sadao, Thailand","batch23/nakprok/59879662_022_Mucilinda,_12c,_Srivijaya_(35212723336).jpg"
"171011077","nakprok","Mucalinda of Wat Hua Wiang","category","Category:Mucalinda of Wat Hua Wiang","File:พระพุทธรูปนาคปรกสำริด จัดแสดงในพิพิธภัณฑสถานแห่งชาติ พระนคร.jpg","https://commons.wikimedia.org/wiki/File:%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%9B%E0%B8%A3%E0%B8%81%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B4%E0%B8%94_%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B9%83%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%A0%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%9B%E0%B8%A3%E0%B8%81%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B4%E0%B8%94_%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B9%83%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%A0%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3.jpg/1920px-thumbnail.jpg","images/nakprok/171011077_พระพุทธรูปนาคปรกสำริด_จัดแสดงในพิพิธภัณฑสถานแห่งชาติ_พระนคร.jpg","cbe9351d1bf283785bee656a3be2bf06fa957b3b","2537","5095","CC BY-SA 4.0","Mastertongapollo","batch23/nakprok/171011077_พระพุทธรูปนาคปรกสำริด_จัดแสดงในพิพิธภัณฑสถานแห่งชาติ_พระนคร.jpg"
"59879659","nakprok","Mucalinda of Wat Na Phra Men","category","Category:Mucalinda of Wat Na Phra Men","File:034 Mucilinda, 12c, Lopburi (34865461140).jpg","https://commons.wikimedia.org/wiki/File:034_Mucilinda,_12c,_Lopburi_(34865461140).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/034_Mucilinda%2C_12c%2C_Lopburi_%2834865461140%29.jpg/1920px-034_Mucilinda%2C_12c%2C_Lopburi_%2834865461140%29.jpg","images/nakprok/59879659_034_Mucilinda,_12c,_Lopburi_(34865461140).jpg","56388b42069a6ab7860443a5a9fcf236a5eab5e8","2817","5872","CC BY 2.0","Photo Dharma from Sadao, Thailand","batch23/nakprok/59879659_034_Mucilinda,_12c,_Lopburi_(34865461140).jpg"
"35437885","samathi","unresolved:samathi:3e7345bcbebb","text_search","ปางสมาธิ พระพุทธรูป","File:วัดพระแก้ว จังหวัดเชียงราย 1.JPG","https://commons.wikimedia.org/wiki/File:%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7_%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2_1.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7_%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2_1.JPG/1920px-%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7_%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2_1.JPG","images/samathi/35437885_วัดพระแก้ว_จังหวัดเชียงราย_1.jpg","4ee7439ac578157244b1aa6901206b9a8d04ac69","3648","5472","CC BY-SA 3.0","Yakuzakorat","batch23/samathi/35437885_วัดพระแก้ว_จังหวัดเชียงราย_1.jpg"
"35437886","samathi","unresolved:samathi:520d82909de1","text_search","ปางสมาธิ พระพุทธรูป","File:วัดพระแก้ว จังหวัดเชียงราย 3.JPG","https://commons.wikimedia.org/wiki/File:%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7_%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2_3.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7_%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2_3.JPG/1920px-%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7_%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%A2_3.JPG","images/samathi/35437886_วัดพระแก้ว_จังหวัดเชียงราย_3.jpg","98b951cf7b8f98b39ca53fc4c1331b50f3dd8906","5472","3648","CC BY-SA 3.0","Yakuzakorat","batch23/samathi/35437886_วัดพระแก้ว_จังหวัดเชียงราย_3.jpg"
