page_id,filename,commons_title,expected_label,search_query,commons_page_url,download_url,original_url,author,license,license_url,credit,description,date_created,categories,width,height,mime_type
120864152,"120864152_Buddha_statuette,_gilded_wooden_0246_-_DPLA_-_55df12a696678330f56b462692330b3a.jpg",maravijaya_candidate,earth touching Buddha Thailand,"File:Buddha statuette, gilded wooden 0246 - DPLA - 55df12a696678330f56b462692330b3a.jpg","https://commons.wikimedia.org/wiki/File:Buddha_statuette,_gilded_wooden_0246_-_DPLA_-_55df12a696678330f56b462692330b3a.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d5/Buddha_statuette%2C_gilded_wooden_0246_-_DPLA_-_55df12a696678330f56b462692330b3a.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Buddha_statuette%2C_gilded_wooden_0246_-_DPLA_-_55df12a696678330f56b462692330b3a.jpg,,Public domain,,File URL IIIF manifest Catalog record,"Gilded bronze Buddha statuette is a figure seated in half lotus position with hands in the bhumisparsha mudra, or earth touching. The right hand is placed palm down upon the right knee and the left hand is held flat in the lap. The figure has stylized hair texture, a cranial bump with a point that may be a flame, and elongated ears. The garments and base are covered in carved decoration. The base has four tiers. The figure and base are gilded. The flat top surfaces of the tiers are painted red as is the back of the base. There is an eye hook protruding from the back of the base. Researchers' notes indicate that this statuette is similar in appearance to some seen in Laos and Thailand. Some of the gilding is worn.",,PD US|Files with no machine-readable author|Media contributed by the Ohio Digital Network|Media contributed by the Digital Public Library of America|Media contributed by Ohio University Libraries|Digital Public Library of America files missing creator,1024,820,image/jpeg
163027910,"163027910_Lord_Buddha_in_Bhumisparsha_Mudra,_Thai_Buddha_Vihara,_Sarnath,_Varanasi_(U.P.),_India.jpg",maravijaya_candidate,earth touching Buddha Thailand,"File:Lord Buddha in Bhumisparsha Mudra, Thai Buddha Vihara, Sarnath, Varanasi (U.P.), India.jpg","https://commons.wikimedia.org/wiki/File:Lord_Buddha_in_Bhumisparsha_Mudra,_Thai_Buddha_Vihara,_Sarnath,_Varanasi_(U.P.),_India.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lord_Buddha_in_Bhumisparsha_Mudra%2C_Thai_Buddha_Vihara%2C_Sarnath%2C_Varanasi_%28U.P.%29%2C_India.jpg/1920px-Lord_Buddha_in_Bhumisparsha_Mudra%2C_Thai_Buddha_Vihara%2C_Sarnath%2C_Varanasi_%28U.P.%29%2C_India.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Lord_Buddha_in_Bhumisparsha_Mudra%2C_Thai_Buddha_Vihara%2C_Sarnath%2C_Varanasi_%28U.P.%29%2C_India.jpg,K.Venkataramana,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Own work,"The statue represents Lord Buddha in Bhumisparsha Mudra (Earth-touching gesture), which symbolizes the moment of his enlightenment under the Bodhi tree.",2024-05-22 12:48:41,CC-Zero|Self-published work|Files with coordinates missing SDC location of creation|Thai Buddha Vihara,3072,4096,image/jpeg
28638212,"28638212_ChinessTemple2-9.761527,100.007254_(23).jpg",meditation_candidate,Dhyana mudra Buddha Thailand,"File:ChinessTemple2-9.761527,100.007254 (23).JPG","https://commons.wikimedia.org/wiki/File:ChinessTemple2-9.761527,100.007254_(23).JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/ChinessTemple2-9.761527%2C100.007254_%2823%29.JPG/1920px-ChinessTemple2-9.761527%2C100.007254_%2823%29.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4c/ChinessTemple2-9.761527%2C100.007254_%2823%29.JPG,Леонид Каратасков,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Own work,ChinessTemple,2013-09-27 10:31:25,"Taken with Nikon Coolpix L310|Statues of the Buddha in Surat Thani Province|Self-published work|Files with coordinates missing SDC location of creation|Mucilinda|Mucilinda in Thailand|Mae Kuan Im shrine, Ko Pha Ngan|Dhyāna mudra",3240,4320,image/jpeg
28638213,"28638213_ChinessTemple2-9.761527,100.007254_(24).jpg",meditation_candidate,Dhyana mudra Buddha Thailand,"File:ChinessTemple2-9.761527,100.007254 (24).JPG","https://commons.wikimedia.org/wiki/File:ChinessTemple2-9.761527,100.007254_(24).JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/ChinessTemple2-9.761527%2C100.007254_%2824%29.JPG/1920px-ChinessTemple2-9.761527%2C100.007254_%2824%29.JPG,https://upload.wikimedia.org/wikipedia/commons/7/79/ChinessTemple2-9.761527%2C100.007254_%2824%29.JPG,Леонид Каратасков,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Own work,ChinessTemple,2013-09-27 10:31:49,"Taken with Nikon Coolpix L310|Statues of the Buddha in Surat Thani Province|Self-published work|Files with coordinates missing SDC location of creation|Mucilinda|Mucilinda in Thailand|Mae Kuan Im shrine, Ko Pha Ngan|Dhyāna mudra",3240,4320,image/jpeg
28638215,"28638215_ChinessTemple2-9.761527,100.007254_(25).jpg",meditation_candidate,Dhyana mudra Buddha Thailand,"File:ChinessTemple2-9.761527,100.007254 (25).JPG","https://commons.wikimedia.org/wiki/File:ChinessTemple2-9.761527,100.007254_(25).JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/ChinessTemple2-9.761527%2C100.007254_%2825%29.JPG/1920px-ChinessTemple2-9.761527%2C100.007254_%2825%29.JPG,https://upload.wikimedia.org/wikipedia/commons/9/93/ChinessTemple2-9.761527%2C100.007254_%2825%29.JPG,Леонид Каратасков,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Own work,ChinessTemple,2013-09-27 10:32:11,"Taken with Nikon Coolpix L310|Statues of the Buddha in Surat Thani Province|Self-published work|Files with coordinates missing SDC location of creation|Mucilinda|Mucilinda in Thailand|Mae Kuan Im shrine, Ko Pha Ngan|Dhyāna mudra",3240,4320,image/jpeg
37690819,37690819_Phra_Buddha_Mettaprachabapith_Wat_Khung_Taphao_in_Uttaradit_Thailand.jpg,meditation_candidate,Dhyana mudra Buddha Thailand,File:Phra Buddha Mettaprachabapith Wat Khung Taphao in Uttaradit Thailand.jpg,https://commons.wikimedia.org/wiki/File:Phra_Buddha_Mettaprachabapith_Wat_Khung_Taphao_in_Uttaradit_Thailand.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Phra_Buddha_Mettaprachabapith_Wat_Khung_Taphao_in_Uttaradit_Thailand.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Phra_Buddha_Mettaprachabapith_Wat_Khung_Taphao_in_Uttaradit_Thailand.jpg,Tevaprapas,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Own work,พระพุทธเมตตาประชาบพิธ บรมธรรมิกราช ไตรโลกนาถปฏิมากร (หลวงพ่อใหญ่เมตตาทันใจ วัดคุ้งตะเภา) Phra Buddha Mettaprachabapith,2015-01-03,Taken with Canon EOS 1100D|Self-published work|Statues of the Buddha seated in Thailand|Phra Buddha Mettaprachabapith|Dhyāna mudra,834,952,image/jpeg
50791870,50791870_027_Samadhi_Buddha_(20451017931).jpg,meditation_candidate,Dhyana mudra Buddha Thailand,File:027 Samadhi Buddha (20451017931).jpg,https://commons.wikimedia.org/wiki/File:027_Samadhi_Buddha_(20451017931).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/027_Samadhi_Buddha_%2820451017931%29.jpg/1920px-027_Samadhi_Buddha_%2820451017931%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/027_Samadhi_Buddha_%2820451017931%29.jpg,"Photo Dharma from Sadao, Thailand",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,027 Samadhi Buddha,"027 Samadhi Buddha, Sinhapura Vipassana Meditation Centre",2015-06-04 00:19,Flickr images reviewed by FlickreviewR|Statues of Shakyamuni Buddha in Sri Lanka|Sinhapura Vipassana Meditation Centre|Dhyāna mudra,3000,4000,image/jpeg
59879340,59879340_020_Amitabha_Buddha_Shrine_Close_up_(35057244061).jpg,meditation_candidate,Dhyana mudra Buddha Thailand,File:020 Amitabha Buddha Shrine Close up (35057244061).jpg,https://commons.wikimedia.org/wiki/File:020_Amitabha_Buddha_Shrine_Close_up_(35057244061).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/020_Amitabha_Buddha_Shrine_Close_up_%2835057244061%29.jpg/1920px-020_Amitabha_Buddha_Shrine_Close_up_%2835057244061%29.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/020_Amitabha_Buddha_Shrine_Close_up_%2835057244061%29.jpg,"Photo Dharma from Sadao, Thailand",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,020 Sakyamuni Buddha Shrine Close up,"Photograph from the remarkable Buddhist art collection at the Buddha Tooth Relic Temple, Singapore",2017-05-04 02:39,"Statues of Amitābha Buddha|Flickr images reviewed by FlickreviewR|Singapore photographs taken on 2017-05-04|Eight Protectors of the Zodiac in the Buddha Tooth Relic Temple and Museum, Singapore|Dhyāna mudra",3536,5304,image/jpeg
65810260,65810260_Buddha_and_Naga_Canopy_(411778142).jpg,meditation_candidate,Dhyana mudra Buddha Thailand,File:Buddha and Naga Canopy (411778142).jpg,https://commons.wikimedia.org/wiki/File:Buddha_and_Naga_Canopy_(411778142).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Buddha_and_Naga_Canopy_%28411778142%29.jpg/1920px-Buddha_and_Naga_Canopy_%28411778142%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Buddha_and_Naga_Canopy_%28411778142%29.jpg,"Akuppa John Wigham from Newcastle upon Tyne, England",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Buddha and Naga Canopy,"Wat Phra That Soi Duthep, Chiang Mai, Thailand.",2007-02-10 04:53,Files uploaded by Artix Kreiger|Flickr images reviewed by FlickreviewR 2|Statues of the Buddha seated|Flickr images missing SDC published in|Dhyāna mudra,2592,3888,image/jpeg
65810534,65810534_Buddha_(17314610462).jpg,meditation_candidate,Dhyana mudra Buddha Thailand,File:Buddha (17314610462).jpg,https://commons.wikimedia.org/wiki/File:Buddha_(17314610462).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Buddha_%2817314610462%29.jpg/1920px-Buddha_%2817314610462%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Buddha_%2817314610462%29.jpg,"Akuppa John Wigham from Newcastle upon Tyne, England",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Buddha,"National Museum, Edinburgh. Thai Buddha of Lop Buri School, 11-13th Centuries.",2015-04-28 10:27,Files uploaded by Artix Kreiger|Flickr images reviewed by FlickreviewR 2|Statues of the Buddha seated|Flickr images missing SDC published in|Dhyāna mudra,3334,3483,image/jpeg
