800/2373  ok=44 skip=756 fail=0
900/2373  ok=144 skip=756 fail=0
1000/2373  ok=244 skip=756 fail=0
1100/2373  ok=344 skip=756 fail=0
1200/2373  ok=444 skip=756 fail=0
1300/2373  ok=544 skip=756 fail=0
1400/2373  ok=643 skip=756 fail=1
1500/2373  ok=743 skip=756 fail=1
1600/2373  ok=843 skip=756 fail=1
1700/2373  ok=943 skip=756 fail=1
1800/2373  ok=1043 skip=756 fail=1
1900/2373  ok=1143 skip=756 fail=1
2000/2373  ok=1243 skip=756 fail=1
2100/2373  ok=1343 skip=756 fail=1
2200/2373  ok=1438 skip=760 fail=2
2300/2373  ok=1536 skip=762 fail=2

DONE ok=1609 skip=762 fail=2  total_files=2372
raw/ size: 1190 MB
