_row,file_name,seed_category,pang_candidate,wat,ai_pang,ai_confidence,ai_note,license,author,url
0,(2023) วัดสุทัศนเทพวรารามราชวรมหาวิหาร เขตพระนคร กรุงเทพมหานคร (45).jpg,Statues of the Buddha reclining in Thailand,saiyat,วัดสุทัศนเทพวรารามราชวรมหาวิหาร,saiyat,high,reclining in temple,CC BY-SA 4.0,กสิณธร ราชโอรส,https://upload.wikimedia.org/wikipedia/commons/d/db/%282023%29_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2845%29.jpg
1,2014 Wat Phra That Chae Haeng.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Phra That Chae Haeng,saiyat,high,Wat Phra That Chae Haeng reclining,CC BY-SA 3.0,Takeaway,https://upload.wikimedia.org/wikipedia/commons/8/83/2014_Wat_Phra_That_Chae_Haeng.jpg
2,AT HAT YAI NAI.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Hat Yai Nai,saiyat,high,Wat Hat Yai Nai reclining,CC BY-SA 3.0,Hannah 50,https://upload.wikimedia.org/wikipedia/commons/f/fc/AT_HAT_YAI_NAI.jpg
3,Attitudes et postures du Bouddha (mudras).jpg,Statues of the Buddha reclining in Thailand,saiyat,,exclude,high,Postures & Gestures of the Buddha chart/poster,CC BY-SA 4.0,Bienvenue en Thaïlande,https://upload.wikimedia.org/wikipedia/commons/4/42/Attitudes_et_postures_du_Bouddha_%28mudras%29.jpg
4,Ayutwputhaisawan0506b.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Phutthai Sawan,saiyat,high,Wat Phutthai Sawan reclining outdoor,CC BY 2.0,"Fotograf / Photographer: Heinrich Damm (User:Hdamm, Hdamm at de.wikipedia.org)",https://upload.wikimedia.org/wikipedia/commons/2/2a/Ayutwputhaisawan0506b.jpg
5,Bangkok Wihan of the Reclining Buddha ovedc 36.JPG,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,reclining on ornate altar,CC BY-SA 4.0,Ovedc,https://upload.wikimedia.org/wikipedia/commons/4/4e/Bangkok_Wihan_of_the_Reclining_Buddha_ovedc_36.JPG
6,Buddha recliningwsuthat.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Suthat,saiyat,high,Wat Suthat bronze reclining in niche,CC BY 2.0,"Fotograf / Photographer: Heinrich Damm (User:Hdamm, Hdamm at de.wikipedia.org)",https://upload.wikimedia.org/wikipedia/commons/7/77/Buddha_recliningwsuthat.jpg
7,Buddha sleeping.jpg,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,reclining behind disciple figures,CC BY-SA 4.0,Amata Sirirat,https://upload.wikimedia.org/wikipedia/commons/1/13/Buddha_sleeping.jpg
8,Budha - panoramio.jpg,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,"outdoor reclining, distant",CC BY 3.0,Thajsko,https://upload.wikimedia.org/wikipedia/commons/3/39/Budha_-_panoramio.jpg
9,ChiangMai-liegenderBuddha.jpg,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,reclining face close-up,CC BY 2.5,Axel,https://upload.wikimedia.org/wikipedia/commons/0/04/ChiangMai-liegenderBuddha.jpg
10,DSC 0115s.JPG,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,high,reclining head on lotus,FAL,sjthai,https://upload.wikimedia.org/wikipedia/commons/f/fb/DSC_0115s.JPG
11,"Golden Mount, Bangkok, Thailand (4244524418).jpg",Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,"reclining face close-up, dark bronze",CC BY 2.0,yeowatzup,https://upload.wikimedia.org/wikipedia/commons/1/16/Golden_Mount%2C_Bangkok%2C_Thailand_%284244524418%29.jpg
12,"Golden Mount, Bangkok, Thailand (4244531254).jpg",Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,reclining face close-up,CC BY 2.0,yeowatzup,https://upload.wikimedia.org/wikipedia/commons/b/b9/Golden_Mount%2C_Bangkok%2C_Thailand_%284244531254%29.jpg
13,Kamphaeng Phet04 (banner esvoy).JPG,Statues of the Buddha reclining in Thailand,saiyat,,uncertain,low,"Kamphaeng Phet ruins, seated figure not reclining",CC BY-SA 3.0,Meneerke bloem,https://upload.wikimedia.org/wikipedia/commons/d/d4/Kamphaeng_Phet04_%28banner_esvoy%29.JPG
14,Kamphaeng Phet04 (esvoy banner).JPG,Statues of the Buddha reclining in Thailand,saiyat,,exclude,medium,"stone Buddha heads only, ruins",CC BY-SA 3.0,Meneerke bloem,https://upload.wikimedia.org/wikipedia/commons/1/15/Kamphaeng_Phet04_%28esvoy_banner%29.JPG
15,Kamphaeng Phet04.JPG,Statues of the Buddha reclining in Thailand,saiyat,,uncertain,low,"ruins, seated Buddhas and heads",CC BY-SA 3.0,Meneerke bloem,https://upload.wikimedia.org/wikipedia/commons/5/5c/Kamphaeng_Phet04.JPG
16,Kamphaeng Phet06.JPG,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,stone reclining head in ruins,CC BY-SA 3.0,Meneerke bloem,https://upload.wikimedia.org/wikipedia/commons/b/b7/Kamphaeng_Phet06.JPG
17,Nontwatmon040909c.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Paramaiyikawat Worawihan,uncertain,low,"Wat Paramaiyikawat golden feet-soles, pose not shown",CC BY-SA 3.0,Hdamm,https://upload.wikimedia.org/wikipedia/commons/a/af/Nontwatmon040909c.jpg
18,Open pagoda Ayutthaya (Buddha).JPG,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,stone reclining head in ruins w/ sash,CC BY-SA 3.0,Ramón Ortega (tres),https://upload.wikimedia.org/wikipedia/commons/2/2e/Open_pagoda_Ayutthaya_%28Buddha%29.JPG
19,Open Pagoda of Buda in Ayutthaya.JPG,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,draped reclining Buddha + tiger statue,CC BY-SA 3.0,Ramón Ortega (tres),https://upload.wikimedia.org/wikipedia/commons/7/76/Open_Pagoda_of_Buda_in_Ayutthaya.JPG
20,Reclining Buddha of Wat Phra Singh.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Phra Singh,saiyat,high,Wat Phra Singh reclining,CC BY-SA 4.0,Christophe95,https://upload.wikimedia.org/wikipedia/commons/a/a6/Reclining_Buddha_of_Wat_Phra_Singh.jpg
21,Reclining Buddha statue in Phuket.jpg,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,"rooftop reclining, distant",CC BY-SA 3.0,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Reclining_Buddha_statue_in_Phuket.jpg
22,Reclining Buddha Wat Saphan Lueak.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Saphan Lueak,saiyat,high,Wat Saphan Lueak reclining indoor,CC BY-SA 4.0,"This Photo was taken by Adirach Toumlamoon.

Feel free to use any of my images, but please mention me as the author and may send me a message.  (ภาพถ่ายสามารถนำไปใช้งานได้เลย แต่ขอให้ใส่เครดิตแก่ผู้ถ่ายเพื่อแสดงที่มาและอาจจะส่งข้อความแจ้งด้วยก็ได้) 






Please do not upload an edited image here without consulting me.  I would like to make corrections only at my own source to ensure that the changes improve the image and are preserved.Otherwise you may upload an edited image with a new name. Please use one of the templates derivative or extract.",https://upload.wikimedia.org/wikipedia/commons/2/2b/Reclining_Buddha_Wat_Saphan_Lueak.jpg
23,Thailande - Ayutthaya - Boudha couché.jpg,Statues of the Buddha reclining in Thailand,saiyat,,saiyat,medium,draped reclining in ruins,CC BY-SA 3.0,Serge Ottaviani,https://upload.wikimedia.org/wikipedia/commons/e/e3/Thailande_-_Ayutthaya_-_Boudha_couch%C3%A9.jpg
24,Wat Dhammachaksemaram-HDR.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Dhammachaksemaram,saiyat,high,Wat Dhammachaksemaram reclining,CC BY-SA 3.0,Ddalbiez,https://upload.wikimedia.org/wikipedia/commons/9/9d/Wat_Dhammachaksemaram-HDR.jpg
25,Wat Khao Tao - panoramio (3).jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Khao Tao,saiyat,high,Wat Khao Tao reclining,CC BY 3.0,josef knecht,https://upload.wikimedia.org/wikipedia/commons/d/d2/Wat_Khao_Tao_-_panoramio_%283%29.jpg
26,Wat Phra Kaeo KPP banner.png,Statues of the Buddha reclining in Thailand,saiyat,Wat Phra Kaeo KPP,saiyat,medium,Wat Phra Kaeo KPP stone reclining ruins,CC BY-SA 3.0,User:Meneerke bloem,https://upload.wikimedia.org/wikipedia/commons/9/9e/Wat_Phra_Kaeo_KPP_banner.png
27,Wat Poramaiyikawat 2.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Poramaiyikawat,saiyat,high,Wat Poramaiyikawat reclining through doorway,CC BY-SA 4.0,Manoonp,https://upload.wikimedia.org/wikipedia/commons/6/66/Wat_Poramaiyikawat_2.jpg
28,Wat Ratchakrue Reclining Buddha.jpg,Statues of the Buddha reclining in Thailand,saiyat,Wat Ratchakrue Reclining Buddha,saiyat,high,Wat Ratchakrue reclining,CC BY-SA 4.0,Peerasan.tkj,https://upload.wikimedia.org/wikipedia/commons/4/44/Wat_Ratchakrue_Reclining_Buddha.jpg
29,Wat-Phra-Baromathat-Nakhon-Srithammarat-Buddhas-Apr-2001-23.JPG,Statues of the Buddha reclining in Thailand,saiyat,Wat Phra Baromathat Nakhon Srithammarat,saiyat,high,Wat Phra Baromathat Nakhon Sri reclining,CC BY-SA 3.0,Matthew Laird Acred http://www.asisbiz.com/Thailand.htmlAcred99 (talk),https://upload.wikimedia.org/wikipedia/commons/3/3f/Wat-Phra-Baromathat-Nakhon-Srithammarat-Buddhas-Apr-2001-23.JPG
30,พระพุทธรูปประจำพระชนมวารสมเด็จฯเจ้าฟ้าเพชรรัตน์.jpg,Statues of the Buddha reclining in Thailand,saiyat,,exclude,medium,gilded relief panel of reclining Buddha,Public domain,Phum Kaewmanee at Thai Wikipedia,https://upload.wikimedia.org/wikipedia/commons/2/22/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B3%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%99%E0%B8%A1%E0%B8%A7%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%AF%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C.jpg
