image_id,file_name,seed_category,pang_candidate,scope,wat,license,author,width,height,url,thumb_url,sha1
File:(2023) วัดสุทัศนเทพวรารามราชวรมหาวิหาร เขตพระนคร กรุงเทพมหานคร (45).jpg,(2023) วัดสุทัศนเทพวรารามราชวรมหาวิหาร เขตพระนคร กรุงเทพมหานคร (45).jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,วัดสุทัศนเทพวรารามราชวรมหาวิหาร,CC BY-SA 4.0,กสิณธร ราชโอรส,4592,3448,https://upload.wikimedia.org/wikipedia/commons/d/db/%282023%29_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2845%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/%282023%29%20%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3%20%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3%20%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%20%2845%29.jpg,0b38536d3736bf296b9068d147a4ff7772af952c
File:2014 Wat Phra That Chae Haeng.jpg,2014 Wat Phra That Chae Haeng.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Phra That Chae Haeng,CC BY-SA 3.0,Takeaway,1875,2500,https://upload.wikimedia.org/wikipedia/commons/8/83/2014_Wat_Phra_That_Chae_Haeng.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/2014%20Wat%20Phra%20That%20Chae%20Haeng.jpg,6a4e9b59ffa4b591f32283f7c13a529f34adda1a
File:AT HAT YAI NAI.jpg,AT HAT YAI NAI.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Hat Yai Nai,CC BY-SA 3.0,Hannah 50,644,432,https://upload.wikimedia.org/wikipedia/commons/f/fc/AT_HAT_YAI_NAI.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/AT%20HAT%20YAI%20NAI.jpg,92924a79dfcba22ecd54633900f3e74d5824293c
File:Attitudes et postures du Bouddha (mudras).jpg,Attitudes et postures du Bouddha (mudras).jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 4.0,Bienvenue en Thaïlande,1816,2760,https://upload.wikimedia.org/wikipedia/commons/4/42/Attitudes_et_postures_du_Bouddha_%28mudras%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Attitudes%20et%20postures%20du%20Bouddha%20%28mudras%29.jpg,560c1b23ba24cf9752259d989ebfa478404b3ef4
File:Ayutwputhaisawan0506b.jpg,Ayutwputhaisawan0506b.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Phutthai Sawan,CC BY 2.0,"Fotograf / Photographer: Heinrich Damm (User:Hdamm, Hdamm at de.wikipedia.org)",1136,852,https://upload.wikimedia.org/wikipedia/commons/2/2a/Ayutwputhaisawan0506b.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Ayutwputhaisawan0506b.jpg,8efa77a61c8a354e225e4f9f167c8560fad25d71
File:Bangkok Wihan of the Reclining Buddha ovedc 36.JPG,Bangkok Wihan of the Reclining Buddha ovedc 36.JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 4.0,Ovedc,4000,3000,https://upload.wikimedia.org/wikipedia/commons/4/4e/Bangkok_Wihan_of_the_Reclining_Buddha_ovedc_36.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Bangkok%20Wihan%20of%20the%20Reclining%20Buddha%20ovedc%2036.JPG,614604e7ebed3f2bec7671592f74478eb975ff00
File:Buddha recliningwsuthat.jpg,Buddha recliningwsuthat.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Suthat,CC BY 2.0,"Fotograf / Photographer: Heinrich Damm (User:Hdamm, Hdamm at de.wikipedia.org)",867,804,https://upload.wikimedia.org/wikipedia/commons/7/77/Buddha_recliningwsuthat.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Buddha%20recliningwsuthat.jpg,b0f5beb684a832d63dd4517dec2e49ac795dcd29
File:Buddha sleeping.jpg,Buddha sleeping.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 4.0,Amata Sirirat,3088,2056,https://upload.wikimedia.org/wikipedia/commons/1/13/Buddha_sleeping.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Buddha%20sleeping.jpg,cf3de71b3de281b447c52843f49fd7942a4c312f
File:Budha - panoramio.jpg,Budha - panoramio.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY 3.0,Thajsko,2272,1704,https://upload.wikimedia.org/wikipedia/commons/3/39/Budha_-_panoramio.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Budha%20-%20panoramio.jpg,27ac3042ceff4773b71ac0ed4ebc5807cce3530d
File:ChiangMai-liegenderBuddha.jpg,ChiangMai-liegenderBuddha.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY 2.5,Axel,1860,1225,https://upload.wikimedia.org/wikipedia/commons/0/04/ChiangMai-liegenderBuddha.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/ChiangMai-liegenderBuddha.jpg,b7723a89cd931585e571dacfc507f0d4d67c54fc
